5.42726E+13,4, eduroam, 1c:aa:07:7b:39:10,-74
5.42726E+13,4, tudelft-dastud, 1c:aa:07:b0:7a:b2,-75
5.42726E+13,4, tudelft-dastud, 1c:aa:07:7b:39:12,-74
5.42726E+13,4, eduroam, 1c:aa:07:b0:7a:b0,-75
5.42726E+13,4, TUvisitor, 1c:aa:07:b0:7a:b1,-75
5.42726E+13,4, my_shared_connection, 84:a6:c8:77:c4:c8,-93
5.42726E+13,4, RFID-AP, 00:22:f7:21:d0:38,-85
5.42726E+13,4, TUDelft-Event, 24:01:c7:76:2a:33,-87
5.42726E+13,4, eduroam, 24:01:c7:76:2a:30,-87
5.42726E+13,4, TUDelft-Event, 1c:aa:07:b0:74:c3,-91
5.42726E+13,4, C150BRS4, 00:22:f7:20:a1:98,-99
5.42726E+13,4, TUvisitor, 1c:aa:07:b0:74:c1,-92
5.42759E+13,4, SLDE-䋢-2, 5c:96:9d:65:76:8d,-83
5.42759E+13,4, autosound, 80:ea:96:eb:1e:fc,-75
5.42759E+13,4, hotspot_mike, 60:36:dd:cb:c1:4f,-72
5.42759E+13,4, TUDelft-Event, 1c:aa:07:7b:39:13,-73
5.42759E+13,4, eduroam, 1c:aa:07:6e:31:a0,-75
5.42759E+13,4, NaoNet3, 00:0c:f6:a6:3c:e8,-86
5.42759E+13,4, TUDelft-Event, 1c:aa:07:6e:31:a3,-75
5.42759E+13,4, tudelft-dastud, 1c:aa:07:6e:31:a2,-76
5.42759E+13,4, TUvisitor, 1c:aa:07:6e:31:a1,-76
5.42759E+13,4, sape, 20:c9:d0:18:43:f3,-92
5.42759E+13,4, TUDelft-Event, 1c:aa:07:7b:37:03,-87
5.42759E+13,4, TUvisitor, 1c:aa:07:b0:7a:b1,-79
5.42759E+13,4, RFID-AP, 00:22:f7:21:d0:38,-84
5.42759E+13,4, TUDelft-Event, 24:01:c7:76:2a:33,-91
5.42759E+13,4, eduroam, 24:01:c7:76:2a:30,-87
5.42759E+13,4, TUDelft-Event, 1c:aa:07:b0:74:c3,-91
5.42759E+13,4, C150BRS4, 00:22:f7:20:a1:98,-99
5.42759E+13,4, TUvisitor, 1c:aa:07:b0:74:c1,-92
5.42759E+13,4, tudelft-dastud, 1c:aa:07:7b:28:02,-83
5.42759E+13,4, eduroam, 1c:aa:07:7b:37:00,-86
5.42792E+13,4, SLDE-䋢-2, 5c:96:9d:65:76:8d,-82
5.42792E+13,4, autosound, 80:ea:96:eb:1e:fc,-70
5.42792E+13,4, hotspot_mike, 60:36:dd:cb:c1:4f,-62
5.42792E+13,4, TUDelft-Event, 1c:aa:07:7b:39:13,-74
5.42792E+13,4, eduroam, 1c:aa:07:6e:31:a0,-78
5.42792E+13,4, NaoNet3, 00:0c:f6:a6:3c:e8,-81
5.42792E+13,4, TUDelft-Event, 1c:aa:07:6e:31:a3,-77
5.42792E+13,4, tudelft-dastud, 1c:aa:07:6e:31:a2,-77
5.42792E+13,4, TUvisitor, 1c:aa:07:6e:31:a1,-79
5.42792E+13,4, sape, 20:c9:d0:18:43:f3,-92
5.42792E+13,4, TUDelft-Event, 1c:aa:07:7b:37:03,-87
5.42792E+13,4, TUvisitor, 1c:aa:07:b0:7a:b1,-79
5.42792E+13,4, RFID-AP, 00:22:f7:21:d0:38,-86
5.42792E+13,4, TUDelft-Event, 24:01:c7:76:2a:33,-91
5.42792E+13,4, tudelft-dastud, 1c:aa:07:7b:28:02,-83
5.42792E+13,4, eduroam, 1c:aa:07:7b:37:00,-86
5.42792E+13,4, tudelft-dastud, 1c:aa:07:b0:7a:b2,-76
5.42792E+13,4, mfold-dlink, 00:26:5a:a9:99:46,-88
5.42792E+13,4, mfold-linksys, 00:25:9c:ca:87:ee,-91
5.42792E+13,4, TUvisitor, 1c:aa:07:7b:39:11,-74
5.42828E+13,4, SLDE-䋢-2, 5c:96:9d:65:76:8d,-84
5.42828E+13,4, autosound, 80:ea:96:eb:1e:fc,-67
5.42828E+13,4, hotspot_mike, 60:36:dd:cb:c1:4f,-65
5.42828E+13,4, TUDelft-Event, 1c:aa:07:7b:39:13,-75
5.42828E+13,4, eduroam, 1c:aa:07:6e:31:a0,-73
5.42828E+13,4, NaoNet3, 00:0c:f6:a6:3c:e8,-88
