5.54997E+13,11, CrowdGuest, 6e:a0:63:eb:9f:71,-95
5.55028E+13,11, RFID-AP, 00:22:f7:21:d0:38,-90
5.55028E+13,11, TUDelft-Event, 1c:aa:07:7b:28:03,-83
5.55028E+13,11, eduroam, 1c:aa:07:7b:28:00,-85
5.55028E+13,11, CrowdGuest, 6e:a0:63:eb:9f:71,-95
5.55058E+13,11, RFID-AP, 00:22:f7:21:d0:38,-90
5.55058E+13,11, TUDelft-Event, 1c:aa:07:7b:28:03,-83
5.55058E+13,11, eduroam, 1c:aa:07:7b:28:00,-88
5.55058E+13,11, CrowdGuest, 6e:a0:63:eb:9f:71,-100
5.55058E+13,11, TUvisitor, 1c:aa:07:7b:28:01,-90
5.551E+13,11, RFID-AP, 00:22:f7:21:d0:38,-91
5.551E+13,11, TUDelft-Event, 1c:aa:07:7b:28:03,-83
5.551E+13,11, eduroam, 1c:aa:07:7b:28:00,-88
5.551E+13,11, CrowdGuest, 6e:a0:63:eb:9f:71,-100
5.551E+13,11, TUvisitor, 1c:aa:07:7b:28:01,-90
5.55224E+13,11, RFID-AP, 00:22:f7:21:d0:38,-92
5.55224E+13,11, TUDelft-Event, 1c:aa:07:7b:28:03,-87
5.55224E+13,11, eduroam, 1c:aa:07:7b:28:00,-87
5.55304E+13,11, RFID-AP, 00:22:f7:21:d0:38,-97
5.55304E+13,11, TUDelft-Event, 1c:aa:07:7b:28:03,-87
5.55304E+13,11, eduroam, 1c:aa:07:7b:28:00,-92
5.55304E+13,11, CrowdGuest, 6e:a0:63:eb:9f:71,-95
5.55348E+13,11, RFID-AP, 00:22:f7:21:d0:38,-88
5.55348E+13,11, eduroam, 1c:aa:07:7b:28:00,-88
5.55348E+13,11, CrowdGuest, 6e:a0:63:eb:9f:71,-95
5.55393E+13,11, RFID-AP, 00:22:f7:21:d0:38,-96
5.55393E+13,11, eduroam, 1c:aa:07:7b:28:00,-86
5.55393E+13,11, TUDelft-Event, 1c:aa:07:7b:28:03,-85
5.55418E+13,11, RFID-AP, 00:22:f7:21:d0:38,-92
5.55418E+13,11, eduroam, 1c:aa:07:7b:28:00,-86
5.55418E+13,11, TUDelft-Event, 1c:aa:07:7b:28:03,-85
5.55517E+13,11, RFID-AP, 00:22:f7:21:d0:38,-92
5.55517E+13,11, eduroam, 1c:aa:07:7b:28:00,-86
5.55517E+13,11, TUDelft-Event, 1c:aa:07:7b:28:03,-85
5.55544E+13,11, RFID-AP, 00:22:f7:21:d0:38,-93
5.55544E+13,11, eduroam, 1c:aa:07:7b:28:00,-86
5.55544E+13,11, TUDelft-Event, 1c:aa:07:7b:28:03,-86
5.55544E+13,11, Non's wifi, e4:f4:c6:d7:e0:7b,-96
5.55544E+13,11, Roger-WIFI, c8:d7:19:3c:98:eb,-97
5.55593E+13,11, RFID-AP, 00:22:f7:21:d0:38,-92
5.55593E+13,11, eduroam, 1c:aa:07:7b:28:00,-86
5.55593E+13,11, TUDelft-Event, 1c:aa:07:7b:28:03,-84
5.55593E+13,11, Non's wifi, e4:f4:c6:d7:e0:7b,-96
5.55593E+13,11, Roger-WIFI, c8:d7:19:3c:98:eb,-97
5.55593E+13,11, TP-LINK_2.4GHz_D38141, c4:6e:1f:d3:81:41,-94
5.55593E+13,11, CrowdGuest, 6e:a0:63:eb:9f:71,-95
5.55593E+13,11, TUvisitor, 1c:aa:07:7b:28:01,-84
5.55593E+13,11, my_shared_connection, 84:a6:c8:77:c4:c8,-96
5.55622E+13,11, RFID-AP, 00:22:f7:21:d0:38,-92
5.55622E+13,11, eduroam, 1c:aa:07:7b:28:00,-86
5.55622E+13,11, TUDelft-Event, 1c:aa:07:7b:28:03,-84
5.55622E+13,11, TP-LINK_2.4GHz_D38141, c4:6e:1f:d3:81:41,-94
5.55622E+13,11, CrowdGuest, 6e:a0:63:eb:9f:71,-95
5.55622E+13,11, TUvisitor, 1c:aa:07:7b:28:01,-84
5.55622E+13,11, my_shared_connection, 84:a6:c8:77:c4:c8,-96
5.55655E+13,11, RFID-AP, 00:22:f7:21:d0:38,-92
5.55655E+13,11, eduroam, 1c:aa:07:7b:28:00,-86
5.55655E+13,11, TUDelft-Event, 1c:aa:07:7b:28:03,-84
5.55655E+13,11, TP-LINK_2.4GHz_D38141, c4:6e:1f:d3:81:41,-94
5.55655E+13,11, CrowdGuest, 6e:a0:63:eb:9f:71,-95
5.55655E+13,11, TUvisitor, 1c:aa:07:7b:28:01,-84
5.55655E+13,11, my_shared_connection, 84:a6:c8:77:c4:c8,-96
5.55655E+13,11, tudelft-dastud, 00:26:cb:d2:1d:12,-91
5.55655E+13,11, TUDelft-Event, 00:26:cb:d2:1d:13,-91
5.55655E+13,11,21888038, c8:d3:a3:16:92:e6,-97
5.55655E+13,11, TUvisitor, 00:26:cb:d2:1d:11,-92
5.55694E+13,11, RFID-AP, 00:22:f7:21:d0:38,-83
5.55694E+13,11, eduroam, 1c:aa:07:7b:28:00,-82
5.55694E+13,11, TUDelft-Event, 1c:aa:07:7b:28:03,-82
5.55694E+13,11, tudelft-dastud, 00:26:cb:d2:1d:12,-91
