46571211148864, 3, NaoNet3, 00:0c:f6:a6:3c:e8, -77
46571211148864, 3, eduroam, 1c:aa:07:7b:39:10, -57
46571211148864, 3, TUvisitor, 1c:aa:07:7b:39:1e, -68
46571211148864, 3, tudelft-dastud, 1c:aa:07:b0:7a:b2, -77
46571211148864, 3, sape, 20:c9:d0:18:43:f3, -84
46571211148864, 3, tudelft-dastud, 1c:aa:07:7b:39:12, -57
46571211148864, 3, tudelft-dastud, 1c:aa:07:6e:31:a2, -60
46571211148864, 3, eduroam, 1c:aa:07:6e:31:a0, -60
46571211148864, 3, eduroam, 1c:aa:07:6e:31:af, -69
46571211148864, 3, tudelft-dastud, 1c:aa:07:6e:31:ad, -71
46571211148864, 3, mfold-dlink, 00:26:5a:a9:99:46, -85
46571211148864, 3, eduroam, 1c:aa:07:7b:37:00, -73
46571211148864, 3, eduroam, 1c:aa:07:b0:7a:b0, -77
46571211148864, 3, tudelft-dastud, 24:01:c7:76:2a:32, -80
46571211148864, 3, TUvisitor, 1c:aa:07:6e:31:a1, -60
46571211148864, 3, TUvisitor, 1c:aa:07:b0:7a:b1, -78
46578215897535, 3, hotspot_mike, 60:36:dd:cb:c1:4f, -54
46578215897535, 3, autosound, 80:ea:96:eb:1e:fc, -56
46578215897535, 3, SLDE-™-2, 5c:96:9d:65:76:8d, -78
46578215897535, 3, autosound, 80:ea:96:eb:1e:fd, -80
46578215897535, 3, TUvisitor, 1c:aa:07:7b:39:11, -55
46578215897535, 3, TRIBLER, e0:3f:49:09:d9:98, -76
46578215897535, 3, NaoNet3, 00:0c:f6:a6:3c:e8, -78
46578215897535, 3, eduroam, 1c:aa:07:7b:39:10, -57
46578215897535, 3, TUvisitor, 1c:aa:07:7b:39:1e, -68
46578215897535, 3, tudelft-dastud, 1c:aa:07:b0:7a:b2, -75
46578215897535, 3, sape, 20:c9:d0:18:43:f3, -84
46578215897535, 3, tudelft-dastud, 1c:aa:07:7b:39:12, -54
46578215897535, 3, tudelft-dastud, 1c:aa:07:6e:31:a2, -59
46578215897535, 3, eduroam, 1c:aa:07:6e:31:a0, -59
46578215897535, 3, eduroam, 1c:aa:07:6e:31:af, -69
46578215897535, 3, tudelft-dastud, 1c:aa:07:6e:31:ad, -75
46578215897535, 3, mfold-dlink, 00:26:5a:a9:99:46, -86
46578215897535, 3, eduroam, 1c:aa:07:7b:37:00, -77
46578215897535, 3, eduroam, 1c:aa:07:b0:7a:b0, -74
46578215897535, 3, tudelft-dastud, 24:01:c7:76:2a:32, -80
46578215897535, 3, TUvisitor, 1c:aa:07:6e:31:a1, -60
46578215897535, 3, TUvisitor, 1c:aa:07:b0:7a:b1, -78
46578215897535, 3, eduroam, 1c:aa:07:7b:39:1f, -70
46578215897535, 3, tudelft-dastud, 1c:aa:07:7b:37:02, -77
