13725588285237, 18, tudelft-dastud, 1c:aa:07:7b:37:d2, -68
13725588285237, 18, eduroam, 1c:aa:07:7b:37:d0, -71
13725588285237, 18, , 00:15:70:ad:99:ca, -91
13725588285237, 18, TUvisitor, 1c:aa:07:7b:28:0e, -52
13725588285237, 18, TUvisitor, 1c:aa:07:b0:7d:51, -82
13732962905240, 18, RFID-AP, 00:22:f7:21:d0:38, -74
13732962905240, 18, TUvisitor, 1c:aa:07:7b:28:01, -33
13732962905240, 18, netgostar, ac:7b:a1:de:ba:b6, -68
13732962905240, 18, CrowdGuest, 6e:a0:63:eb:9f:71, -75
13732962905240, 18, , 6c:70:9f:eb:63:a0, -76
13732962905240, 18, eduroam, 1c:aa:07:7b:28:00, -40
13732962905240, 18, tudelft-dastud, 1c:aa:07:7b:28:02, -39
13732962905240, 18, , 6c:70:9f:eb:63:a1, -91
13732962905240, 18, tudelft-dastud, 1c:aa:07:7b:37:d2, -70
13732962905240, 18, eduroam, 1c:aa:07:7b:37:d0, -71
13732962905240, 18, , 00:15:70:ad:99:ca, -91
13732962905240, 18, TUvisitor, 1c:aa:07:7b:28:0e, -52
13732962905240, 18, TUvisitor, 1c:aa:07:b0:7d:51, -82
13732962905240, 18, eduroam, 1c:aa:07:7b:28:0f, -51
13732962905240, 18, TUvisitor, 1c:aa:07:7b:37:d1, -70
13739954944494, 18, RFID-AP, 00:22:f7:21:d0:38, -74
13739954944494, 18, TUvisitor, 1c:aa:07:7b:28:01, -35
13739954944494, 18, netgostar, ac:7b:a1:de:ba:b6, -70
13739954944494, 18, CrowdGuest, 6e:a0:63:eb:9f:71, -75
13739954944494, 18, , 6c:70:9f:eb:63:a0, -74
13739954944494, 18, eduroam, 1c:aa:07:7b:28:00, -35
13739954944494, 18, tudelft-dastud, 1c:aa:07:7b:28:02, -35
13739954944494, 18, tudelft-dastud, 1c:aa:07:7b:37:d2, -70
13739954944494, 18, eduroam, 1c:aa:07:7b:28:0f, -51
13739954944494, 18, TUvisitor, 1c:aa:07:7b:37:d1, -66
13739954944494, 18, tudelft-dastud, 1c:aa:07:7b:28:0d, -58
13739954944494, 18, eduroam, 1c:aa:07:b0:7d:50, -76
13739954944494, 18, tudelft-dastud, 1c:aa:07:b0:7d:52, -76
13747501400580, 18, RFID-AP, 00:22:f7:21:d0:38, -73
13747501400580, 18, TUvisitor, 1c:aa:07:7b:28:01, -35
13747501400580, 18, netgostar, ac:7b:a1:de:ba:b6, -73
13747501400580, 18, CrowdGuest, 6e:a0:63:eb:9f:71, -75
13747501400580, 18, , 6c:70:9f:eb:63:a0, -78
13747501400580, 18, eduroam, 1c:aa:07:7b:28:00, -35
13747501400580, 18, tudelft-dastud, 1c:aa:07:7b:28:02, -35
13747501400580, 18, TUvisitor, 1c:aa:07:7b:37:d1, -66
13747501400580, 18, tudelft-dastud, 1c:aa:07:7b:28:0d, -58
13747501400580, 18, eduroam, 1c:aa:07:b0:7d:50, -76
13747501400580, 18, tudelft-dastud, 1c:aa:07:b0:7d:52, -76
13747501400580, 18, eduroam, 1c:aa:07:7b:37:d0, -71
13747501400580, 18, TUvisitor, 1c:aa:07:7b:28:0e, -58
13754767472460, 18, RFID-AP, 00:22:f7:21:d0:38, -73
13754767472460, 18, TUvisitor, 1c:aa:07:7b:28:01, -32
13754767472460, 18, netgostar, ac:7b:a1:de:ba:b6, -73
13754767472460, 18, CrowdGuest, 6e:a0:63:eb:9f:71, -80
13754767472460, 18, , 6c:70:9f:eb:63:a0, -78
13754767472460, 18, eduroam, 1c:aa:07:7b:28:00, -30
13754767472460, 18, tudelft-dastud, 1c:aa:07:7b:28:02, -31
13754767472460, 18, tudelft-dastud, 1c:aa:07:7b:28:0d, -57
13754767472460, 18, eduroam, 1c:aa:07:7b:37:d0, -71
13754767472460, 18, TUvisitor, 1c:aa:07:7b:28:0e, -58
13761205866629, 18, RFID-AP, 00:22:f7:21:d0:38, -70
13761205866629, 18, TUvisitor, 1c:aa:07:7b:28:01, -46
13761205866629, 18, netgostar, ac:7b:a1:de:ba:b6, -79
13761205866629, 18, CrowdGuest, 6e:a0:63:eb:9f:71, -74
13761205866629, 18, , 6c:70:9f:eb:63:a0, -77
13761205866629, 18, eduroam, 1c:aa:07:7b:28:00, -46
13761205866629, 18, tudelft-dastud, 1c:aa:07:7b:28:02, -46
13761205866629, 18, tudelft-dastud, 1c:aa:07:7b:28:0d, -53
13761205866629, 18, eduroam, 1c:aa:07:7b:37:df, -81
13761205866629, 18, TUvisitor, 1c:aa:07:7b:37:d1, -70
13761205866629, 18, GAMMA, 00:15:70:ad:99:c8, -93
13768119700090, 18, RFID-AP, 00:22:f7:21:d0:38, -72
13768119700090, 18, TUvisitor, 1c:aa:07:7b:28:01, -44
13768119700090, 18, netgostar, ac:7b:a1:de:ba:b6, -73
13768119700090, 18, CrowdGuest, 6e:a0:63:eb:9f:71, -74
13768119700090, 18, , 6c:70:9f:eb:63:a0, -75
13768119700090, 18, eduroam, 1c:aa:07:7b:28:00, -44
13768119700090, 18, tudelft-dastud, 1c:aa:07:7b:28:02, -36
13768119700090, 18, tudelft-dastud, 1c:aa:07:7b:28:0d, -51
13768119700090, 18, eduroam, 1c:aa:07:7b:37:df, -81
13768119700090, 18, TUvisitor, 1c:aa:07:7b:37:d1, -70
13768119700090, 18, GAMMA, 00:15:70:ad:99:c8, -93
13768119700090, 18, , 6c:70:9f:eb:63:a1, -83
13768119700090, 18, tudelft-dastud, 1c:aa:07:b0:7d:52, -80
