8761121830369, 11, TP-LINK_CF231A, 5c:63:bf:cf:23:1a, -93
8765538507414, 11, RFID-AP, 00:22:f7:21:d0:38, -76
8765538507414, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -86
8765538507414, 11, , 6c:70:9f:eb:63:a0, -85
8765538507414, 11, TP-LINK_CF231A, 5c:63:bf:cf:23:1a, -93
8765538507414, 11, eduroam, 1c:aa:07:7b:28:00, -79
8791913541801, 11, RFID-AP, 00:22:f7:21:d0:38, -84
8791913541801, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -89
8791913541801, 11, , 6c:70:9f:eb:63:a0, -90
8791913541801, 11, eduroam, 1c:aa:07:7b:28:00, -79
8796955393430, 11, RFID-AP, 00:22:f7:21:d0:38, -75
8796955393430, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -76
8796955393430, 11, , 6c:70:9f:eb:63:a0, -77
8796955393430, 11, , 6c:70:9f:eb:63:a1, -91
8801650696556, 11, RFID-AP, 00:22:f7:21:d0:38, -76
8801650696556, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -86
8801650696556, 11, , 6c:70:9f:eb:63:a0, -82
8801650696556, 11, , 6c:70:9f:eb:63:a1, -91
8801650696556, 11, eduroam, 1c:aa:07:7b:28:00, -76
8801650696556, 11, tudelft-dastud, 1c:aa:07:7b:28:02, -77
8806474006058, 11, RFID-AP, 00:22:f7:21:d0:38, -78
8806474006058, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -89
8806474006058, 11, , 6c:70:9f:eb:63:a0, -86
8806474006058, 11, eduroam, 1c:aa:07:7b:28:00, -76
8806474006058, 11, tudelft-dastud, 1c:aa:07:7b:28:02, -77
8812150359144, 11, RFID-AP, 00:22:f7:21:d0:38, -84
8812150359144, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -79
8812150359144, 11, , 6c:70:9f:eb:63:a0, -81
8817449171979, 11, RFID-AP, 00:22:f7:21:d0:38, -84
8817449171979, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -79
8817449171979, 11, , 6c:70:9f:eb:63:a0, -90
8822482242357, 11, RFID-AP, 00:22:f7:21:d0:38, -83
8822482242357, 11, , 6c:70:9f:eb:63:a0, -90
8827635344109, 11, RFID-AP, 00:22:f7:21:d0:38, -81
8827635344109, 11, , 6c:70:9f:eb:63:a0, -84
8827635344109, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -84
8834027315612, 11, RFID-AP, 00:22:f7:21:d0:38, -82
8834027315612, 11, , 6c:70:9f:eb:63:a0, -82
8834027315612, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -81
8834027315612, 11, CrowdGuest, 6e:a1:63:eb:9f:70, -90
8839583852824, 11, RFID-AP, 00:22:f7:21:d0:38, -80
8839583852824, 11, , 6c:70:9f:eb:63:a0, -82
8839583852824, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -81
8839583852824, 11, CrowdGuest, 6e:a1:63:eb:9f:70, -90
8844015820492, 11, RFID-AP, 00:22:f7:21:d0:38, -81
8844015820492, 11, , 6c:70:9f:eb:63:a0, -90
8844015820492, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -92
8849023906953, 11, RFID-AP, 00:22:f7:21:d0:38, -81
8849023906953, 11, , 6c:70:9f:eb:63:a0, -90
8849023906953, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -88
8854606565247, 11, RFID-AP, 00:22:f7:21:d0:38, -81
