6315340624453, 8, RFID-AP, 00:22:f7:21:d0:38, -64
6315340624453, 8, tudelft-dastud, 1c:aa:07:b0:7a:b2, -49
6315340624453, 8, eduroam, 1c:aa:07:b0:7a:b0, -50
6315340624453, 8, eduroam, 1c:aa:07:b0:7a:bf, -65
6315340624453, 8, SLDE-™-2 5GHz, 5c:96:9d:65:76:8e, -88
6315340624453, 8, tudelft-dastud, 1c:aa:07:b0:7a:bd, -66
6315340624453, 8, TUvisitor, 1c:aa:07:b0:74:c1, -66
6315340624453, 8, tudelft-dastud, 1c:aa:07:6f:28:52, -71
6315340624453, 8, hotspot_mike, 60:36:dd:cb:c1:4f, -73
6315340624453, 8, TRIBLER, e0:3f:49:09:d9:98, -81
6315340624453, 8, tudelft-dastud, 1c:aa:07:b0:80:c2, -74
6315340624453, 8, eduroam, 1c:aa:07:b0:80:c0, -75
6315340624453, 8, tudelft-dastud, 1c:aa:07:7b:28:02, -75
6315340624453, 8, TUvisitor, 1c:aa:07:b0:7a:be, -66
6315340624453, 8, TUvisitor, 1c:aa:07:6f:28:51, -71
6315340624453, 8, TUvisitor, 1c:aa:07:b0:80:c1, -74
6323435191457, 8, sape, 20:c9:d0:18:43:f3, -73
6323435191457, 8, SLDE-™-2, 5c:96:9d:65:76:8d, -81
6323435191457, 8, Annibale's MacBook Pro, 34:36:3b:c5:5d:52, -63
6323435191457, 8, autosound, 80:ea:96:eb:1e:fc, -88
6323435191457, 8, TUvisitor, 1c:aa:07:b0:7a:b1, -51
6323435191457, 8, sape, 20:c9:d0:18:43:f4, -83
6323435191457, 8, mfold-dlink, 00:26:5a:a9:99:46, -60
6323435191457, 8, C150BRS4, 00:22:f7:20:a1:98, -71
6323435191457, 8, RFID-AP, 00:22:f7:21:d0:38, -64
6323435191457, 8, tudelft-dastud, 1c:aa:07:b0:7a:b2, -52
6323435191457, 8, eduroam, 1c:aa:07:b0:7a:b0, -52
6323435191457, 8, SLDE-™-2 5GHz, 5c:96:9d:65:76:8e, -88
6323435191457, 8, tudelft-dastud, 1c:aa:07:b0:7a:bd, -66
6323435191457, 8, TUvisitor, 1c:aa:07:b0:74:c1, -66
6323435191457, 8, tudelft-dastud, 1c:aa:07:6f:28:52, -73
6323435191457, 8, hotspot_mike, 60:36:dd:cb:c1:4f, -72
