177753220837, 2, TUvisitor, 1c:aa:07:6e:31:a1, -63
177753220837, 2, tudelft-dastud, 24:01:c7:76:2a:32, -78
177753220837, 2, tudelft-dastud, 1c:aa:07:b0:7a:b2, -61
177753220837, 2, eduroam, 1c:aa:07:b0:7a:b0, -61
179546915379, 2, hotspot_mike, 60:36:dd:cb:c1:4f, -38
179546915379, 2, autosound, 80:ea:96:eb:1e:fc, -59
179546915379, 2, autosound, 80:ea:96:eb:1e:fd, -65
179546915379, 2, eduroam, 1c:aa:07:7b:39:10, -63
179546915379, 2, SLDE-™-2, 5c:96:9d:65:76:8d, -64
179546915379, 2, SLDE-™-2 5GHz, 5c:96:9d:65:76:8e, -73
179546915379, 2, NaoNet3, 00:0c:f6:a6:3c:e8, -71
179546915379, 2, TRIBLER, e0:3f:49:09:d9:98, -69
179546915379, 2, sape, 20:c9:d0:18:43:f3, -79
179546915379, 2, TUvisitor, 1c:aa:07:7b:39:11, -63
179546915379, 2, tudelft-dastud, 1c:aa:07:7b:39:12, -63
179546915379, 2, TUvisitor, 1c:aa:07:b0:7a:b1, -57
179546915379, 2, TRIBLER, e0:3f:49:09:d9:9c, -78
179546915379, 2, eduroam, 1c:aa:07:7b:37:00, -74
179546915379, 2, mfold-linksys, 00:25:9c:ca:87:ee, -85
179546915379, 2, TUvisitor, 1c:aa:07:b0:7a:be, -82
179546915379, 2, tudelft-dastud, 1c:aa:07:b0:7c:02, -78
179546915379, 2, eduroam, 1c:aa:07:6e:31:af, -77
179546915379, 2, tudelft-dastud, 1c:aa:07:7b:37:02, -76
179546915379, 2, TUvisitor, 1c:aa:07:7b:39:1e, -72
179546915379, 2, TUvisitor, 1c:aa:07:7b:37:01, -73
179546915379, 2, tudelft-dastud, 1c:aa:07:6e:31:a2, -62
179546915379, 2, eduroam, 1c:aa:07:6e:31:a0, -62
179546915379, 2, eduroam, 24:01:c7:76:2a:30, -80
179546915379, 2, TUvisitor, 1c:aa:07:6e:31:a1, -63
179546915379, 2, tudelft-dastud, 24:01:c7:76:2a:32, -77
179546915379, 2, tudelft-dastud, 1c:aa:07:b0:7a:b2, -57
179546915379, 2, eduroam, 1c:aa:07:b0:7a:b0, -58
179546915379, 2, , 00:19:aa:76:70:00, -83
179546915379, 2, Router_Joost, 48:f8:b3:40:f1:a9, -86
179546915379, 2, TUvisitor, 24:01:c7:76:2a:31, -79
181860999880, 2, hotspot_mike, 60:36:dd:cb:c1:4f, -38
181860999880, 2, autosound, 80:ea:96:eb:1e:fc, -59
181860999880, 2, autosound, 80:ea:96:eb:1e:fd, -65
181860999880, 2, eduroam, 1c:aa:07:7b:39:10, -63
181860999880, 2, SLDE-™-2, 5c:96:9d:65:76:8d, -66
181860999880, 2, SLDE-™-2 5GHz, 5c:96:9d:65:76:8e, -73
181860999880, 2, NaoNet3, 00:0c:f6:a6:3c:e8, -71
181860999880, 2, TRIBLER, e0:3f:49:09:d9:98, -69
181860999880, 2, sape, 20:c9:d0:18:43:f3, -79
181860999880, 2, TUvisitor, 1c:aa:07:7b:39:11, -63
181860999880, 2, tudelft-dastud, 1c:aa:07:7b:39:12, -63
181860999880, 2, TUvisitor, 1c:aa:07:b0:7a:b1, -60
181860999880, 2, TRIBLER, e0:3f:49:09:d9:9c, -78
181860999880, 2, eduroam, 1c:aa:07:7b:37:00, -72
181860999880, 2, mfold-linksys, 00:25:9c:ca:87:ee, -85
181860999880, 2, TUvisitor, 1c:aa:07:b0:7a:be, -82
181860999880, 2, tudelft-dastud, 1c:aa:07:b0:7c:02, -78
181860999880, 2, eduroam, 1c:aa:07:6e:31:af, -77
181860999880, 2, tudelft-dastud, 1c:aa:07:7b:37:02, -72
181860999880, 2, TUvisitor, 1c:aa:07:7b:39:1e, -72
181860999880, 2, TUvisitor, 1c:aa:07:7b:37:01, -72
181860999880, 2, tudelft-dastud, 1c:aa:07:6e:31:a2, -62
181860999880, 2, eduroam, 1c:aa:07:6e:31:a0, -62
181860999880, 2, eduroam, 24:01:c7:76:2a:30, -80
181860999880, 2, TUvisitor, 1c:aa:07:6e:31:a1, -63
181860999880, 2, tudelft-dastud, 24:01:c7:76:2a:32, -77
181860999880, 2, tudelft-dastud, 1c:aa:07:b0:7a:b2, -60
181860999880, 2, eduroam, 1c:aa:07:b0:7a:b0, -60
181860999880, 2, , 00:19:aa:76:70:00, -83
181860999880, 2, Router_Joost, 48:f8:b3:40:f1:a9, -86
181860999880, 2, TUvisitor, 24:01:c7:76:2a:31, -79
186977341799, 2, hotspot_mike, 60:36:dd:cb:c1:4f, -44
