538209471508, 4, eduroam, 1c:aa:07:6e:31:af, -77
538209471508, 4, tudelft-dastud, 1c:aa:07:6e:31:ad, -78
538209471508, 4, tudelft-dastud, 1c:aa:07:b0:7a:bd, -79
538209471508, 4, mfold-dlink, 00:26:5a:a9:99:46, -82
538209471508, 4, , 6c:70:9f:eb:63:a0, -90
538209471508, 4, TUvisitor, 1c:aa:07:7b:39:1e, -75
544929929053, 4, hotspot_mike, 60:36:dd:cb:c1:4f, -56
544929929053, 4, autosound, 80:ea:96:eb:1e:fc, -54
544929929053, 4, SLDE-™-2, 5c:96:9d:65:76:8d, -73
544929929053, 4, SLDE-™-2 5GHz, 5c:96:9d:65:76:8e, -77
544929929053, 4, TRIBLER, e0:3f:49:09:d9:98, -68
544929929053, 4, TUvisitor, 1c:aa:07:7b:39:11, -63
544929929053, 4, NaoNet3, 00:0c:f6:a6:3c:e8, -74
544929929053, 4, autosound, 80:ea:96:eb:1e:fd, -71
544929929053, 4, eduroam, 1c:aa:07:7b:39:10, -63
544929929053, 4, tudelft-dastud, 1c:aa:07:7b:39:12, -64
544929929053, 4, TRIBLER, e0:3f:49:09:d9:9c, -89
544929929053, 4, tudelft-dastud, 1c:aa:07:7b:39:1d, -75
544929929053, 4, eduroam, 1c:aa:07:b0:7a:bf, -80
544929929053, 4, sape, 20:c9:d0:18:43:f3, -85
544929929053, 4, eduroam, 1c:aa:07:7b:37:00, -78
544929929053, 4, TUvisitor, 1c:aa:07:b0:7a:b1, -68
544929929053, 4, eduroam, 1c:aa:07:6e:31:af, -82
544929929053, 4, tudelft-dastud, 1c:aa:07:6e:31:ad, -80
544929929053, 4, tudelft-dastud, 1c:aa:07:b0:7a:bd, -79
544929929053, 4, mfold-dlink, 00:26:5a:a9:99:46, -82
544929929053, 4, , 6c:70:9f:eb:63:a0, -90
544929929053, 4, TUvisitor, 1c:aa:07:7b:39:1e, -75
544929929053, 4, eduroam, 1c:aa:07:6e:31:a0, -71
544929929053, 4, BALPOL162, 00:16:0a:18:95:0c, -85
544929929053, 4, NoEraPenal, 00:0c:f6:9d:66:a4, -86
544929929053, 4, TUvisitor, 1c:aa:07:6e:31:a1, -70
553780815140, 4, hotspot_mike, 60:36:dd:cb:c1:4f, -41
553780815140, 4, autosound, 80:ea:96:eb:1e:fc, -55
553780815140, 4, SLDE-™-2, 5c:96:9d:65:76:8d, -70
553780815140, 4, SLDE-™-2 5GHz, 5c:96:9d:65:76:8e, -77
553780815140, 4, TRIBLER, e0:3f:49:09:d9:98, -69
553780815140, 4, TUvisitor, 1c:aa:07:7b:39:11, -67
553780815140, 4, NaoNet3, 00:0c:f6:a6:3c:e8, -72
553780815140, 4, autosound, 80:ea:96:eb:1e:fd, -69
553780815140, 4, eduroam, 1c:aa:07:7b:39:10, -69
553780815140, 4, tudelft-dastud, 1c:aa:07:7b:39:12, -69
553780815140, 4, TRIBLER, e0:3f:49:09:d9:9c, -87
553780815140, 4, eduroam, 1c:aa:07:b0:7a:bf, -80
553780815140, 4, sape, 20:c9:d0:18:43:f3, -82
553780815140, 4, TUvisitor, 1c:aa:07:b0:7a:b1, -62
553780815140, 4, eduroam, 1c:aa:07:6e:31:af, -82
553780815140, 4, tudelft-dastud, 1c:aa:07:6e:31:ad, -80
553780815140, 4, mfold-dlink, 00:26:5a:a9:99:46, -83
553780815140, 4, eduroam, 1c:aa:07:6e:31:a0, -64
553780815140, 4, BALPOL162, 00:16:0a:18:95:0c, -85
553780815140, 4, NoEraPenal, 00:0c:f6:9d:66:a4, -86
553780815140, 4, TUvisitor, 1c:aa:07:6e:31:a1, -65
553780815140, 4, eduroam, 1c:aa:07:b0:7a:b0, -61
553780815140, 4, tudelft-dastud, 1c:aa:07:b0:7a:b2, -61
553780815140, 4, tudelft-dastud, 1c:aa:07:6e:31:a2, -64
553780815140, 4, RFID-AP, 00:22:f7:21:d0:38, -76
553780815140, 4, mfold-linksys, 00:25:9c:ca:87:ee, -89
553780815140, 4, TUvisitor, 1c:aa:07:b0:7a:be, -78
560877139852, 4, hotspot_mike, 60:36:dd:cb:c1:4f, -44
560877139852, 4, autosound, 80:ea:96:eb:1e:fc, -49
560877139852, 4, SLDE-™-2, 5c:96:9d:65:76:8d, -68
560877139852, 4, SLDE-™-2 5GHz, 5c:96:9d:65:76:8e, -80
560877139852, 4, TRIBLER, e0:3f:49:09:d9:98, -70
560877139852, 4, TUvisitor, 1c:aa:07:7b:39:11, -65
560877139852, 4, NaoNet3, 00:0c:f6:a6:3c:e8, -73
560877139852, 4, autosound, 80:ea:96:eb:1e:fd, -70
560877139852, 4, eduroam, 1c:aa:07:7b:39:10, -64
560877139852, 4, tudelft-dastud, 1c:aa:07:7b:39:12, -65
560877139852, 4, TRIBLER, e0:3f:49:09:d9:9c, -79
560877139852, 4, sape, 20:c9:d0:18:43:f3, -88
560877139852, 4, TUvisitor, 1c:aa:07:b0:7a:b1, -68
560877139852, 4, mfold-dlink, 00:26:5a:a9:99:46, -83
560877139852, 4, eduroam, 1c:aa:07:6e:31:a0, -70
560877139852, 4, TUvisitor, 1c:aa:07:6e:31:a1, -72
560877139852, 4, eduroam, 1c:aa:07:b0:7a:b0, -68
560877139852, 4, tudelft-dastud, 1c:aa:07:b0:7a:b2, -67
560877139852, 4, tudelft-dastud, 1c:aa:07:6e:31:a2, -70
560877139852, 4, RFID-AP, 00:22:f7:21:d0:38, -76
560877139852, 4, mfold-linksys, 00:25:9c:ca:87:ee, -89
560877139852, 4, TUvisitor, 1c:aa:07:b0:7a:be, -76
560877139852, 4, tudelft-dastud, 1c:aa:07:b0:7a:bd, -75
560877139852, 4, tudelft-dastud, 1c:aa:07:b0:80:c2, -81
560877139852, 4, TUvisitor, 1c:aa:07:6e:31:ae, -75
560877139852, 4, TUvisitor, 1c:aa:07:b0:80:c1, -81
568740074981, 4, hotspot_mike, 60:36:dd:cb:c1:4f, -42
568740074981, 4, autosound, 80:ea:96:eb:1e:fc, -53
568740074981, 4, SLDE-™-2, 5c:96:9d:65:76:8d, -69
568740074981, 4, SLDE-™-2 5GHz, 5c:96:9d:65:76:8e, -83
568740074981, 4, TRIBLER, e0:3f:49:09:d9:98, -66
568740074981, 4, TUvisitor, 1c:aa:07:7b:39:11, -62
568740074981, 4, NaoNet3, 00:0c:f6:a6:3c:e8, -77
568740074981, 4, autosound, 80:ea:96:eb:1e:fd, -71
568740074981, 4, eduroam, 1c:aa:07:7b:39:10, -64
568740074981, 4, tudelft-dastud, 1c:aa:07:7b:39:12, -65
568740074981, 4, TRIBLER, e0:3f:49:09:d9:9c, -77
568740074981, 4, sape, 20:c9:d0:18:43:f3, -84
568740074981, 4, TUvisitor, 1c:aa:07:b0:7a:b1, -62
568740074981, 4, mfold-dlink, 00:26:5a:a9:99:46, -83
568740074981, 4, eduroam, 1c:aa:07:6e:31:a0, -70
568740074981, 4, TUvisitor, 1c:aa:07:6e:31:a1, -72
568740074981, 4, eduroam, 1c:aa:07:b0:7a:b0, -68
568740074981, 4, tudelft-dastud, 1c:aa:07:b0:7a:b2, -61
568740074981, 4, tudelft-dastud, 1c:aa:07:6e:31:a2, -70
568740074981, 4, TUvisitor, 1c:aa:07:b0:7a:be, -76
568740074981, 4, tudelft-dastud, 1c:aa:07:b0:7a:bd, -75
568740074981, 4, tudelft-dastud, 1c:aa:07:b0:80:c2, -80
568740074981, 4, TUvisitor, 1c:aa:07:6e:31:ae, -75
568740074981, 4, TUvisitor, 1c:aa:07:b0:80:c1, -79
568740074981, 4, tudelft-dastud, 1c:aa:07:6e:31:ad, -74
568740074981, 4, eduroam, 1c:aa:07:6e:31:af, -75
568740074981, 4, eduroam, 1c:aa:07:b0:7a:bf, -75
568740074981, 4, tudelft-dastud, 1c:aa:07:7b:39:1d, -77
568740074981, 4, SANDER, 1c:af:f7:18:0e:4a, -83
577952774985, 4, hotspot_mike, 60:36:dd:cb:c1:4f, -46
577952774985, 4, autosound, 80:ea:96:eb:1e:fc, -54
577952774985, 4, SLDE-™-2, 5c:96:9d:65:76:8d, -72
577952774985, 4, SLDE-™-2 5GHz, 5c:96:9d:65:76:8e, -85
577952774985, 4, TRIBLER, e0:3f:49:09:d9:98, -70
577952774985, 4, TUvisitor, 1c:aa:07:7b:39:11, -63
577952774985, 4, NaoNet3, 00:0c:f6:a6:3c:e8, -77
577952774985, 4, autosound, 80:ea:96:eb:1e:fd, -67
577952774985, 4, eduroam, 1c:aa:07:7b:39:10, -64
577952774985, 4, tudelft-dastud, 1c:aa:07:7b:39:12, -64
577952774985, 4, TRIBLER, e0:3f:49:09:d9:9c, -80
577952774985, 4, sape, 20:c9:d0:18:43:f3, -82
577952774985, 4, TUvisitor, 1c:aa:07:b0:7a:b1, -62
577952774985, 4, eduroam, 1c:aa:07:6e:31:a0, -61
577952774985, 4, TUvisitor, 1c:aa:07:6e:31:a1, -62
577952774985, 4, tudelft-dastud, 1c:aa:07:b0:7a:b2, -61
577952774985, 4, tudelft-dastud, 1c:aa:07:6e:31:a2, -61
577952774985, 4, tudelft-dastud, 1c:aa:07:b0:7a:bd, -75
577952774985, 4, tudelft-dastud, 1c:aa:07:b0:80:c2, -80
577952774985, 4, TUvisitor, 1c:aa:07:b0:80:c1, -79
577952774985, 4, tudelft-dastud, 1c:aa:07:6e:31:ad, -74
577952774985, 4, eduroam, 1c:aa:07:6e:31:af, -75
577952774985, 4, eduroam, 1c:aa:07:b0:7a:bf, -75
577952774985, 4, tudelft-dastud, 1c:aa:07:7b:39:1d, -77
577952774985, 4, SANDER, 1c:af:f7:18:0e:4a, -83
577952774985, 4, RFID-AP, 00:22:f7:21:d0:38, -74
577952774985, 4, tudelft-dastud, 1c:aa:07:7b:37:02, -79
577952774985, 4, mfold-linksys, 00:25:9c:ca:87:ee, -88
577952774985, 4, C150BRS4, 00:22:f7:20:a1:98, -91
577952774985, 4, TUvisitor, 1c:aa:07:7b:39:1e, -75
585148670155, 4, hotspot_mike, 60:36:dd:cb:c1:4f, -46
585148670155, 4, autosound, 80:ea:96:eb:1e:fc, -56
585148670155, 4, SLDE-™-2, 5c:96:9d:65:76:8d, -71
585148670155, 4, SLDE-™-2 5GHz, 5c:96:9d:65:76:8e, -84
585148670155, 4, TRIBLER, e0:3f:49:09:d9:98, -68
585148670155, 4, TUvisitor, 1c:aa:07:7b:39:11, -65
585148670155, 4, NaoNet3, 00:0c:f6:a6:3c:e8, -74
585148670155, 4, autosound, 80:ea:96:eb:1e:fd, -77
585148670155, 4, eduroam, 1c:aa:07:7b:39:10, -67
585148670155, 4, tudelft-dastud, 1c:aa:07:7b:39:12, -68
585148670155, 4, TRIBLER, e0:3f:49:09:d9:9c, -80
585148670155, 4, sape, 20:c9:d0:18:43:f3, -82
585148670155, 4, TUvisitor, 1c:aa:07:b0:7a:b1, -68
585148670155, 4, eduroam, 1c:aa:07:6e:31:a0, -71
585148670155, 4, TUvisitor, 1c:aa:07:6e:31:a1, -71
585148670155, 4, tudelft-dastud, 1c:aa:07:b0:7a:b2, -69
585148670155, 4, tudelft-dastud, 1c:aa:07:6e:31:a2, -73
585148670155, 4, eduroam, 1c:aa:07:6e:31:af, -76
585148670155, 4, tudelft-dastud, 1c:aa:07:7b:39:1d, -78
